x,y
0,2000
1,2009
2,2004
3,2006
4,2010
5,2005
6,2007
7,2013
8,2007
9,2004
10,2008
11,2014
12,2013
13,2017
14,2015
15,2009
16,2000
17,1999
18,2009
19,2004
20,1997
21,1991
22,1983
23,1974
24,1979
25,1989
26,1991
27,1997
28,1994
29,2000
30,2004
31,2010
32,2008
33,2011
34,2007
35,2009
36,2011
37,2020
38,2028
39,2029
40,2021
41,2028
42,2029
43,2024
44,2034
45,2029
46,2030
47,2023
48,2029
49,2029
50,2028
51,2025
52,2034
53,2029
54,2020
55,2026
56,2033
57,2037
58,2045
59,2054
60,2054
61,2057
62,2052
63,2048
64,2056
65,2057
66,2063
67,2059
68,2063
69,2059
70,2063
71,2064
72,2060
73,2063
74,2061
75,2060
76,2058
77,2058
78,2068
79,2078
80,2086
81,2078
82,2085
83,2090
84,2087
85,2092
86,2086
87,2095
88,2099
89,2099
90,2100
91,2093
92,2103
93,2101
94,2097
95,2093
96,2085
97,2093
98,2096
99,2089
100,2093
101,2088
102,2086
103,2090
104,2084
105,2077
106,2079
107,2088
108,2092
109,2084
110,2086
111,2081
112,2081
113,2086
114,2079
115,2078
116,2088
117,2083
118,2082
119,2088
120,2089
121,2086
122,2081
123,2080
124,2090
125,2087
126,2087
127,2088
128,2090
129,2081
130,2089
131,2097
132,2089
133,2092
134,2089
135,2081
136,2090
137,2085
138,2092
139,2085
140,2084
141,2085
142,2079
143,2074
144,2069
145,2077
146,2069
147,2071
148,2066
149,2066
150,2070
151,2062
152,2069
153,2067
154,2064
155,2067
156,2061
157,2067
158,2059
159,2051
160,2051
161,2048
162,2047
163,2043
164,2047
165,2053
166,2054
167,2063
168,2063
169,2054
170,2051
171,2059
172,2068
173,2068
174,2070
175,2063
176,2064
177,2059
178,2066
179,2062
180,2064
181,2067
182,2066
183,2074
184,2068
185,2073
186,2083
187,2074
188,2069
189,2063
190,2068
191,2069
192,2072
193,2068
194,2066
195,2058
196,2064
197,2055
198,2061
199,2057
200,2057
201,2067
202,2065
203,2073
204,2080
205,2073
206,2082
207,2075
208,2071
209,2062
210,2064
211,2058
212,2053
213,2044
214,2044
215,2038
216,2037
217,2037
218,2040
219,2039
220,2030
221,2024
222,2032
223,2027
224,2037
225,2047
226,2056
227,2060
228,2060
229,2059
230,2060
231,2054
232,2056
233,2056
234,2061
235,2070
236,2073
237,2068
238,2067
239,2065
240,2072
241,2082
242,2085
243,2076
244,2073
245,2073
246,2076
247,2067
248,2066
249,2067
250,2063
251,2073
252,2080
253,2071
254,2069
255,2073
256,2077
257,2085
258,2085
259,2085
260,2089
261,2095
262,2101
263,2100
264,2101
265,2095
266,2102
267,2102
268,2110
269,2117
270,2126
271,2124
272,2128
273,2120
274,2127
275,2131
276,2122
277,2122
278,2127
279,2119
280,2127
281,2120
282,2123
283,2125
284,2117
285,2116
286,2126
287,2133
288,2130
289,2135
290,2139
291,2146
292,2138
293,2140
294,2131
295,2141
296,2138
297,2137
298,2137
299,2135
300,2139
301,2138
302,2138
303,2134
304,2139
305,2140
306,2131
307,2139
308,2145
309,2145
310,2149
311,2150
312,2156
313,2161
314,2167
315,2159
316,2160
317,2153
318,2146
319,2153
320,2157
321,2164
322,2167
323,2159
324,2155
325,2165
326,2168
327,2177
328,2179
329,2186
330,2194
331,2197
332,2204
333,2201
334,2206
335,2216
336,2221
337,2224
338,2229
339,2235
340,2233
341,2232
342,2225
343,2235
344,2241
345,2233
346,2232
347,2229
348,2222
349,2224
350,2233
351,2239
352,2245
353,2249
354,2253
355,2251
356,2246
357,2238
358,2237
359,2233
360,2228
361,2224
362,2233
363,2236
364,2235
365,2232
366,2223
367,2230
368,2233
369,2230
370,2225
371,2230
372,2235
373,2232
374,2223
375,2227
376,2220
377,2215
378,2215
379,2211
380,2218
381,2222
382,2222
383,2225
384,2225
385,2229
386,2237
387,2247
388,2250
389,2252
390,2247
391,2249
392,2252
393,2260
394,2251
395,2261
396,2262
397,2253
398,2249
399,2254
400,2247
401,2257
402,2253
403,2260
404,2253
405,2252
406,2255
407,2264
408,2268
409,2265
410,2265
411,2273
412,2269
413,2271
414,2264
415,2268
416,2274
417,2279
418,2286
419,2293
420,2301
421,2304
422,2305
423,2314
424,2307
425,2312
426,2304
427,2307
428,2316
429,2315
430,2310
431,2313
432,2309
433,2318
434,2313
435,2305
436,2312
437,2304
438,2303
439,2308
440,2314
441,2318
442,2314
443,2322
444,2313
445,2321
446,2316
447,2307
448,2302
449,2312
450,2304
451,2303
452,2299
453,2293
454,2288
455,2297
456,2305
457,2298
458,2303
459,2312
460,2314
461,2324
462,2333
463,2329
464,2320
465,2319
466,2310
467,2310
468,2316
469,2326
470,2319
471,2317
472,2316
473,2314
474,2320
475,2318
476,2317
477,2308
478,2303
479,2299
480,2298
